Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Brigitte Maria;Schmitt;1973;FAMILIE;;RP;7
Christian;Schmitt;1981;FDP;299;SL;2
Heinz;Schmitt;1951;SPD;212;RP;11
Ingo;Schmitt;1979;CDU;81;;
Michael;Schmitt;1971;FAMILIE;;RP;2
Thomas;Schmitt;1973;CDU;;SL;14
Andreas;Schmitz;1965;GRÜNE;100;;
Christian;Schmitz;1975;SPD;;RP;25
Jürgen Theo;Schmitz;1965;;93;;
Dominik;Schmoll;1988;SPD;;SL;12
Ulrich;Schmück;1961;FDP;2;SH;7
Hermann August;Schnarre;1935;NPD;121;;
Andreas;Schneider;1963;;117;;
Astrid;Schneider;1965;GRÜNE;;BE;9
Carsten;Schneider;1976;SPD;193;TH;1
Franz-Herbert;Schneider;1949;REP;;NW;13
Gerda;Schneider;1959;CDU;;BW;56
Guntram;Schneider;1951;SPD;133;;
Dr. Heinz-Joachim Herbert;Schneider;1939;REP;;TH;1
Horst;Schneider;1959;DIE LINKE;;HH;8
Maria Magdalena;Schneider;1940;CDU;;SL;17
Matthias;Schneider;1960;GRÜNE;117;;
Norbert;Schneider;1964;DIE LINKE;196;TH;9
Philipp;Schneider;1983;SPD;;SL;15
Sebastian;Schneider;1985;PIRATEN;;BE;6
Steffen;Schneider;1968;NPD;195;;
Ulrich;Schneider;1972;GRÜNE;267;BW;18
Volker;Schneider;1955;DIE LINKE;296;;
Franz Xaver;Schneiderbauer;1940;REP;;BY;23
Charlotte;Schneidewind-Hartnagel;1953;GRÜNE;277;BW;13
Jochim;Schnell;1976;NPD;40;NI;11
Patrick;Schnieder;1968;CDU;203;RP;12
Monya;Schnittke;1985;GRÜNE;122;;
Michael;Schnorr;1954;NPD;103;;
Toralf;Schnur;1975;FDP;17;MV;5
Christoph;Schnurr;1984;FDP;183;HE;8
Thomas Friedrich;Schock;1968;DIE LINKE;139;;
Dr. Andreas;Schockenhoff;1957;CDU;294;;
Rudi;Schöberl;1955;DIE LINKE;230;;
Carolin;Schoen;1978;CSU;;BY;37
Friedrich;Schönbeck;1937;;291;;
Tilo;Schöne;1957;REP;;BY;16
Renate;Schönfeld;1948;DKP;;BE;6
Siegfried;Schönfeld;1950;GRÜNE;123;;
Detlef;Schönig;1955;DIE LINKE;293;BW;16
Uwe;Schönwald;1963;DVU;;ST;3
Richard;Schöps;1967;BP;;BY;38
Steffen;Schöps;1970;FDP;278;BW;25
Alexander;Scholl;1985;NPD;267;;
Frank;Scholz;1965;BüSo;78;BE;10
Günter;Scholz;1960;REP;;SN;2
Marcell;Scholz;1986;REP;;SN;10
Mike;Scholz;1975;REP;;TH;3
Olaf;Scholz;1958;SPD;20;HH;1
Manuela;Schon;1982;DIE LINKE;;HE;9
Alexander;Schopf;1977;FDP;265;BW;20
Susanne;Schoppen;1948;FDP;;HE;39
Erwin;Schott;1952;DIE VIOLETTEN;206;;
Fritz;Schowald;1953;VIOLETTEN;;BW;8
Hartmut;Schrader;1950;;179;;
Henning;Schramm;1962;CDU;;MV;12
Inge;Schramm;1960;;242;;
Robert;Schramm;1959;ödp;;RP;18
Elke;Schreiber;1945;SPD;;SH;17
Peter;Schreiber;1973;NPD;156;;
Bernd Nobert Harry;Schreiner;1967;PIRATEN;;TH;3
Bertold;Schreiner;1960;BüSo;;BW;6
Ottmar;Schreiner;1946;SPD;297;SL;2
Jendrik;Schröder;1984;SPD;;NI;33
Dr. Ole;Schröder;1971;CDU;7;SH;2
Patrick Hermann;Schröder;1983;NPD;225;BY;6
Thea;Schröder;1939;VIOLETTEN;;BY;11
Ulrich;Schröder;1947;DIE LINKE;30;;
Petra;Schröer;1960;SPD;;NW;70
Andrea;Schrutek;1963;DIE LINKE;165;SN;13
Prof. Gottfried;Schubert;1931;REP;223;BY;3
Jörg Hans;Schubert;1956;NPD;163;;
Katina;Schubert;1961;DIE LINKE;;BB;7
Arnd;Schubeus;1967;REP;;NW;5
Gabriele;Schuchalter-Eicke;1952;GRÜNE;179;HE;23
Dr. Lothar;Schuchmann;1940;DIE LINKE;288;;
Robert;Schuder;1968;BP;;BY;42
Heiner Helmut Willi;Schülke;1950;FDP;41;NI;11
Monika;Schüllenbach-Schöne;1941;Tierschutz;;BY;3
Jörg;Schümann;1960;GRÜNE;232;;
Perdita;Schünemann;1960;VIOLETTEN;;BE;4
Sigrid;Schüßler;1969;NPD;;BY;4
Rainer;Schütten;1953;SPD;;NW;73
Daniel;Schütz;1931;BP;;BY;40
Jürgen;Schützinger;1953;NPD;286;BW;1
Rudolf;Schützinger;1982;NPD;280;BW;8
Herbert Karl;Schui;1940;DIE LINKE;37;NI;4
Graf von der Friedrich-Werner;Schulenburg;1947;NPD;50;;
Oliver;Schulte;1979;CSU;;BY;38
Peter;Schulte;1969;DIE LINKE;149;NW;29
Bernhard;Schulte-Drüggelte;1951;CDU;147;NW;17
Daniel;Schultheiß;1980;PIRATEN;;TH;1
Frank;Schultz;1972;PIRATEN;;MV;4
Vasco;Schultz;1976;DIE LINKE;23;;
Velda;Schultz;1985;ödp;;HH;4
Dr. Andreas;Schulz;1970;GRÜNE;;HE;12
Dieter;Schulz;1969;NPD;140;;
Gerhard-Walter;Schulz;1950;DIE LINKE;48;;
Herbert Heinrich Paul;Schulz;1947;DIE LINKE;21;;
Dr. Horst;Schulz;1943;FWD;;BB;7
Ines Rosika;Schulz;1961;VIOLETTEN;;BE;6
Jimmy;Schulz;1968;FDP;222;BY;10
Katrin;Schulz;1959;CDU;;SH;12
Rico;Schulz;1978;BüSo;159;SN;13
Roland;Schulz;1959;DVU;;BB;2
Swen;Schulz;1968;SPD;79;BE;3
Erik;Schulze;1984;NPD;;ST;10
Prof. Dr. Joachim;Schulze;1952;GRÜNE;158;;
Karl-Heinz;Schulze;1955;MLPD;;MV;3
Sigrid;Schulze;1966;REP;;HE;10
Tobias;Schulze;1976;DIE LINKE;;BE;10
Heinz;Schumacher;1953;;187;;
Manfred;Schumacher;1959;ödp;;RP;7
Markus;Schumacher;1977;NPD;142;;
Ulrich;Schumacher;1966;PIRATEN;;NW;1
Dieter;Schumann;1953;;193;;
Ingo Martin Gerhard;Schumann;1950;MLPD;;SN;6
Robert;Schumann;1947;NPD;;SL;5
Uwe;Schummer;1957;CDU;112;NW;43
Ewald;Schurer;1954;SPD;214;BY;9
Manfred;Schurr;1966;PBC;;BW;3
Alfred;Schuster;1955;SPD;;BY;55
Armin;Schuster;1961;CDU;282;;
Marina;Schuster;1975;FDP;246;BY;6
Peter;Schuster;1950;BP;;BY;39
Thorsten;Schuster;1964;NPD;21;HH;5
Angelika;Schwab;1959;Tierschutz;;NW;3
Frank;Schwabe;1970;SPD;122;NW;43
Dr. Angelica Klara;Schwall-Düren;1948;SPD;128;NW;2
Stefan;Schwan;1969;GRÜNE;138;;
Dr. Martin;Schwanholz;1960;SPD;40;NI;13
Rolf;Schwanitz;1959;SPD;167;SN;3
Stefan;Schwartze;1974;SPD;134;NW;28
Andreas;Schwarz;1979;GRÜNE;262;;
Andreas;Schwarz;1965;SPD;236;BY;29
Dr. Caroline;Schwarz;1971;BP;219;BY;3
Dr. Christian;Schwarz;1974;CSU;;BY;52
Jan;Schwarz;1982;SPD;;NI;47
Maria Viktoria;Schwarz;1943;CM;;BY;7
Michael;Schwarz;1984;CDU;;RP;30
Ulrich;Schwarz;1941;NPD;259;;
Rita;Schwarzelühr-Sutter;1962;SPD;288;BW;16
Peter Paul Alfons;Schwarzenberg;1949;REP;;SN;5
Frank;Schwarzer;1974;DIE LINKE;133;;
Daniel;Schweer;1982;SPD;;NI;57
Dr. Erik;Schweickert;1972;FDP;279;BW;10
Dr. Hermann;Schweiger;1954;ödp;241;BY;4
Angelika Elisabeth Christine;Schweitzer;1949;MLPD;;NW;28
Gottfried;Schweitzer;1946;MLPD;95;;
Felix;Schwenke;1979;SPD;;HE;31
Frank;Schwerdt;1944;NPD;193;;
Joachim;Schwiderke;1961;SPD;189;TH;8
Heinrich;Schwimmbeck;1957;DIE LINKE;236;;
Enrico;Schwülbe;1973;DIE LINKE;45;;
Clemens Johann;Seebens;1955;PBC;;HB;2
Hans-Joachim;Seeger;1943;DIE LINKE;;NI;21
Valentin;Seehausen;1990;GRÜNE;2;;
Manfred;Seel;1954;DIE LINKE;254;;
Peter;Seelmann;1952;CDU;;RP;24
Harry;Seemann;1955;;130;;
Wolfgand Josef Emil;Seemann;1950;ödp;;NW;7
Ulrike;Seemann-Katz;1955;GRÜNE;12;MV;7
Matthias;Seestern-Pauly;1984;FDP;39;NI;13
Norbert;Segerath;1948;DIE LINKE;114;;
Daniela;Seibel;1969;Tierschutz;;NI;5
Dietrich;Seidel;1936;NPD;34;;
Horst Gerhard;Seidel;1940;RRP;;NW;2
Wolfgang;Seidel;1969;DIE LINKE;222;;
Lothar;Seidemann;1950;REP;280;BW;11
Dr. Hermann;Seiderer;1941;BP;;BY;41
Daniela;Seidl;1979;FDP;216;BY;29
Detlef;Seif;1962;CDU;93;NW;50
Berthold;Seifert;1964;REP;;BY;2
Dr. Ilja;Seifert;1951;DIE LINKE;158;SN;4
Till;Seiler;1981;GRÜNE;287;BW;16
Andreas;Seitz;1967;ödp;229;BY;34
Petra;Selg;1961;GRÜNE;293;;
Jürgen;Selke-Witzel;1967;GRÜNE;50;;
Johannes;Selle;1956;CDU;191;TH;9
Markus;Selzener;1964;FDP;141;NW;57
Reinhold;Sendker;1952;CDU;131;;
Mieke;Senftleben;1952;FDP;78;;
Kathrin;Senger-Schäfer;1962;DIE LINKE;208;RP;2
Alisan;Sengül;1969;DIE LINKE;146;;
Dr. Patrick;Sensburg;1971;CDU;148;;
Wolfgang;Serway;1948;MLPD;;BW;11
Raju;Sharma;1964;DIE LINKE;;SH;2
Waltraud;Siade;1959;;226;;
Thomas;Sieber;1989;BP;;BY;43
Bernd;Siebert;1949;CDU;171;HE;4
Hendrik Gerd;Siegel;1977;FDP;9;SH;8
Christine;Siegert;1955;CDU;;ST;11
Harry;Siegert;1947;DIE LINKE;188;;
Udo;Sieghart;1957;NPD;247;;
Andreas;Siegmund;1960;;67;;
Iris Ursula Elisabeth;Siekiera;1956;SPD;;NI;31
Dr. Carsten Günter Erich;Sieling;1959;SPD;55;HB;3
Melanie;Siemen;1974;CDU;;SH;25
Sabine;Siemsen;1965;DIE LINKE;;BY;21
Michael;Siethoff;1970;Tierschutz;151;NW;2
Gudrun;Sievers;1961;ödp;;NI;3
Wolfgang;Siewert;1942;GRÜNE;72;;
Kosima;Sikora;1957;FAMILIE;;BY;2
Thomas;Silberhorn;1968;CSU;236;;
Herbert;Simm;1954;CDU;;BW;16
Martin;Simmermann;1967;DIE LINKE;;SL;6
Werner;Simmling;1944;FDP;263;BW;14
Johannes;Singhammer;1953;CSU;218;BY;8
Eugenia;Singler;1958;CDU;;BW;46
Christopher;Sitte;1973;FDP;;RP;20
Dr. Petra;Sitte;1960;DIE LINKE;73;ST;1
Judith;Skudelny;1975;FDP;262;BW;12
Hannelore;Slaugh;1949;Tierschutz;;HE;9
Günter Paul;Slave;1955;MLPD;161;SN;1
Oliver;Snelinski;1980;;87;;
Karl;Söllner;1956;SPD;233;BY;37
Peter;Sokolowski;1964;GRÜNE;27;;
Dr. Hermann Otto;Solms-Hohensolms-Lich Prinz zu;1940;FDP;174;HE;2
Lothar;Sommer;1954;;61;;
Volker Christoph;Sommer;1944;ödp;;TH;11
Bernd;Sommerau;1954;;60;;
Elke;Sommermeyer;1954;FDP;;HE;22
Christoph;Sonnenberg-Westeson;1969;GRÜNE;79;;
Sebastian;Sonner;1953;ödp;;BY;9
Sina;Sossna;1990;FDP;;NW;44
Alois;Späth;1937;;234;;
Jens;Spahn;1980;CDU;125;;
Dr. Günther;Spangenberg;1935;FWD;;BB;3
Joachim;Spatz;1964;FDP;251;BY;8
Heiko;Spauke;1979;REP;;SN;4
Tobias;Specht;1977;GRÜNE;257;;
Dr. Christoph Marcel;Spehr;1963;DIE LINKE;;HB;8
Albert;Speicher;1951;DIE LINKE;;SL;5
Viviane;Spethmann-Berssenbrügge;1967;CDU;;HH;7
Rainer;Spiering;1956;SPD;39;NI;26
Richard;Spieß;1959;DIE LINKE;233;BY;8
Frank;Spieth;1947;DIE LINKE;193;;
Hans;Spieth;1943;ADM;;BW;4
Anita;Spinner;1964;ödp;276;;
Norbert;Spinrath;1957;SPD;90;NW;58
Rolf;Spitz;1960;SPD;257;BY;23
Wolfgang;Spitz;1960;CDU;;RP;28
Lars;Spönlein;1972;NPD;;NW;7
Uta;Spöri;1955;DIE LINKE;281;BW;9
Ernst;Sporer;1950;GRÜNE;175;;
Heinz-Günter;Sprodowski;1930;Volksabst.;;BW;10
Matthias;Stadie;1976;REP;;MV;3
Dr. Maximilian;Stadler;1949;FDP;229;BY;2
Maren;Stäbler;1983;CDU;;BW;60
Torsten Heiko;Staffeldt;1963;FDP;55;HB;1
Christian;Stahl;1975;CDU;;HE;30
Rainer;Staib;1969;CDU;;BW;48
Josef;Stalleicher;1950;BüSo;;HE;9
Martina;Stalleicken;1979;MLPD;;NW;11
Markus;Stamm;1970;ödp;;NW;8
Thomas;Stamm;1968;DIE LINKE;;TH;14
Martina;Stamm-Fibich;1965;SPD;242;BY;38
Dr. Michael;Stanglmaier;1963;GRÜNE;215;;
Eduard;Stapel;1953;GRÜNE;67;;
Felix Johannes;Staratschek;1966;ödp;100;NW;9
Bettina;Stark-Watzinger;1968;FDP;181;HE;9
Alina;Staszewski;1986;REP;;BY;10
Detlev;Stauch;1953;REP;;TH;2
Carola;Stauche;1952;CDU;196;TH;6
Peter;Staudenhöchtl;1955;REP;;BY;12
Alfred;Staudt;1958;SPD;;SL;6
Horst;Stauffer;1934;ödp;;RP;13
Ingo;Stawitz;1950;NPD;7;SH;4
Britta;Steck;1965;GRÜNE;201;RP;7
Anna-Elisabeth;Stefanutti-Bscheidl;1955;BP;225;;
Dr. Frank;Steffel;1966;CDU;78;BE;4
Sonja Amalie;Steffen;1963;SPD;15;MV;2
Manfred;Steidle;1958;DIE LINKE;269;;
Günther;Steiger;1958;BP;;BY;44
Marco Klaus Willy;Steigert;1974;REP;208;RP;4
Dr. Dieter;Stein;1957;MLPD;;HE;6
Horst-Peter;Stein;1960;FDP;59;;
Kevin;Stein;1984;NPD;1;;
Peter;Stein;1968;CDU;14;MV;7
Uli;Stein;1957;ödp;;BW;10
Erika;Steinbach;1943;CDU;183;HE;3
Wilfried;Steinberg;1940;REP;;BB;1
Holger;Steinbiß;1971;NPD;145;;
Peer;Steinbrück;1947;SPD;105;NW;3
Dieter;Steinecke;1954;SPD;32;NI;20
Dorothea;Steiner;1948;GRÜNE;40;NI;3
Christina Theresa;Steinheuer;1979;FDP;199;RP;13
Lilli;Steinke;1941;Volksabst.;;BW;9
Frank-Thomas;Steinle;1962;VIOLETTEN;;BY;14
Alfred;Steinleitner;1960;NPD;227;;
Dr. Frank-Walter;Steinmeier;1956;SPD;61;BB;1
Sven;Steinmeyer;1973;;220;;
Tom;Steinwender;1978;GRÜNE;;RP;12
Frank Alfred;Stengel;1969;Freie Union;257;;
Claus;Stenglein;1957;SPD;240;BY;39
Margitta Gisela;Stephan;1964;;257;;
André;Stephany;1989;CDU;;BW;51
Andreas;Steppuhn;1962;SPD;69;ST;6
Stephan Peter;Sterk;1965;VIOLETTEN;;BY;9
Christian Alexander;Stetten von;1970;CDU;268;;
Christian;Steup;1978;NPD;84;RP;3
Hendrik;Stiefel;1983;PIRATEN;;TH;6
Dieter;Stier;1964;CDU;74;ST;7
Franziska;Stier;1984;DIE LINKE;287;BW;11
Frank Joachim;Stierlin;1950;MLPD;;NW;25
Hauke;Stiewe;1971;;84;;
Sebastian;Stiffel;1984;PIRATEN;;MV;1
Dr. Rainer;Stinner;1947;FDP;219;BY;3
Madeleine;Stockert;1947;MLPD;208;RP;1
Hans-Achim;Stockhausen von;1945;FDP;133;NW;53
Hans Joachim;Stockschläger;1959;FDP;110;NW;26
Christiane;Stodt-Kirchholtes;1962;GRÜNE;;SH;7
Sebastian;Stöber;1977;NPD;37;;
Daniel;Stöckel;1979;ödp;;BW;8
Volker;Stöckel;1966;;40;;
Matthias;Stoll;1965;PIRATEN;;NI;4
Peter;Stoltenberg;1949;GRÜNE;8;;
Phillip;Stompfe;1984;CDU;;HE;35
Gero;Storjohann;1958;CDU;8;SH;5
Andreas;Storm;1964;CDU;186;HE;5
Axel;Stoßno;1967;FDP;;BY;39
Veronika;Stossun;1949;DIE LINKE;270;;
Stephan;Stracke;1974;CSU;257;;
Christoph;Strässer;1949;SPD;130;NW;8
Hanna Bettina;Stratmann;1958;DIE LINKE;203;;
Stefan;Straub;1945;DIE LINKE;289;;
Max;Straubinger;1954;CSU;230;;
Rüdiger Wilhelm;Strauchmann;1950;DIE LINKE;;SH;8
Axel;Strausdat;1963;DIE LINKE;;HB;6
Matthäus;Strebl;1952;CSU;;BY;20
Dietmar;Strehl;1956;GRÜNE;59;;
Reinhard;Strehlke;1954;SPD;256;BY;33
Ludwig;Streitle;1947;REP;;BY;19
Wolfgang;Strengmann-Kuhn;1964;GRÜNE;181;HE;6
Karin;Strenz;1967;CDU;12;MV;5
Gerald;Strickner;1953;BüSo;223;BY;3
Sebastian;Striegel;1981;GRÜNE;;ST;4
Friedbert;Striewe;1958;GRÜNE;153;;
Thomas;Strobl;1960;CDU;267;BW;5
Hans-Christian;Ströbele;1939;GRÜNE;84;;
Jörg Klaus Hartmut;Stroedter;1954;SPD;78;BE;6
Lena;Strothmann;1952;CDU;133;NW;15
Nikolai;Strub;1960;;8;;
Walter;Strube;1952;CDU;;MV;11
Udo;Strüker;1956;DIE LINKE;138;;
Pamela;Strutz;1979;DIE LINKE;;NW;23
Joachim;Struzyna;1955;MLPD;291;BW;9
Susanne;Struzyna;1956;MLPD;;BW;6
Sabine Ursula;Stüber;1953;DIE LINKE;58;BB;9
Michael;Stübgen;1959;CDU;66;BB;2
Joachim;Stünker;1948;SPD;35;NI;16
Heinrich;Stürtz;1949;DIE LINKE;278;;
Tobias;Stützer;1981;DIE LINKE;286;;
Arvid;Stüwe;1976;PIRATEN;;NI;7
Erich Walter;Sturm;1961;PIRATEN;;HB;1
Jan;Sturm;1965;NPD;83;BE;4
Ulrike;Sturm;1961;GRÜNE;269;;
Astrid;Suchanek;1946;Tierschutz;;BW;3
Katja;Suding;1975;FDP;20;HH;6
Heike;Sudmann;1962;DIE LINKE;;HH;3
Wilhelm;Sudmann;1960;NPD;26;;
Dr. Klaus;Sühl;1951;DIE LINKE;161;SN;10
Claudia;Sünder;1969;SPD;270;;
Lydia;Süßenbach;1937;PBC;;BY;12
Alexander;Süßmair;1977;DIE LINKE;252;BY;6
Dr. Sabine;Sütterlin-Waack;1958;CDU;;SH;13
Stefan;Suhr;1979;NPD;;MV;9
Peter;Sulzmann;1964;SPD;;HE;37
Christa;Summerer;1958;BP;;BY;45
Ralf;Susemichel;1962;SPD;;HE;38
Dirk;Susemihl;1969;NPD;17;;
Cornelia;Swillus-Knöchel;1963;DIE LINKE;121;;
Malte Maximilian Andreas Gabriel;Symann;1988;CSU;;BY;59
Jan;Syré;1962;FDP;62;BB;6
Dorota;Szymanska;1965;GRÜNE;48;;
Dr. Rainer;Tabillion;1950;SPD;298;SL;4
Kerstin;Tack;1968;SPD;42;NI;27
Dr. Kirsten;Tackmann;1960;DIE LINKE;57;BB;3
Roland;Tandetzke;1965;REP;;NW;15
Martin;Tangeten;1978;;56;;
Jürgen;Tartz;1969;FAMILIE;80;;
Dr. Peter;Tauber;1974;CDU;180;HE;13
Dr. Ludwig;Tauscher;1956;CDU;207;RP;15
Claudia;Tausend;1964;SPD;219;BY;22
Adolf;Tegel;1955;Tierschutz;;HE;4
Gabriele;Teichmann;1959;SPD;276;BW;23
Michael;Teiser;1951;CDU;;HB;2
Frank;Tempel;1969;DIE LINKE;195;TH;4
Dietmar;Tendler;1952;SPD;98;NW;71
Dr. Harald;Terpe;1954;GRÜNE;14;MV;1
Dr. Michael;Terwiesche;1964;FDP;115;NW;38
Uwe;Teske;1961;;155;;
Philipp;Tetzner;1981;REP;;BY;18
Jella;Teuchner;1956;SPD;229;BY;18
Hendrik;Thalheim;1960;DIE LINKE;156;;
Evi Manuela;Thanheiser;1968;SPD;;BY;51
Claudia;Thannheimer;1966;CDU;;BW;24
Monika;Thau;1955;Tierschutz;;NW;1
Klaus;Theis;1957;ödp;;RP;8
Andreas;Theißen;1972;NPD;;MV;6
Roswitha;Theißen;1960;NPD;116;;
Rudi Frank;Theißen;1959;NPD;117;;
Renate;Thiedemann;1963;SPD;;SH;12
Margret;Thiel;1945;ödp;;NW;6
Carl-Ludwig;Thiele;1953;FDP;40;NI;1
Axel;Thieme;1949;NPD;143;NW;5
Wolfgang;Thierse;1943;SPD;77;BE;1
Gabriele;Thiery;1967;CDU;;SL;21
Andreas Georg;Thies;1962;SPD;;NI;36
Bodo;Thiesen;1980;PIRATEN;;RP;7
Holger;Thiesen;1954;;4;;
Jörn;Thießen;1961;SPD;3;SH;8
Franz;Thönnes;1954;SPD;8;SH;3
Sebastian;Thom;1986;NPD;79;;
Stephan;Thomae;1968;FDP;256;BY;11
Frank;Thomas;1967;;51;;
Heiko;Thomas;1969;GRÜNE;77;BE;10
Sascha;Thomas;1976;DIE LINKE;11;SH;4
Dr. Steffen;Thomas;1965;PIRATEN;;BB;2
Heinz;Thorau;1954;Tierschutz;;HE;10
Liane;Thorwart;1970;VIOLETTEN;254;BY;2
Fritz;Throne;1958;ödp;;BY;35
Udo;Thümmel;1956;REP;;RP;6
Hans Peter;Thul;1948;CDU;47;NI;18
Sebastian;Thul;1980;SPD;;SL;9
Rolf;Tickert;1955;MLPD;;SL;3
Richard;Tiede;1942;RRP;37;NI;7
Wolfgang Erwin Bernhard;Tiefensee;1955;SPD;154;SN;1
Marcus;Tietz;1978;NPD;9;;
Martina;Tigges-Friedrichs;1967;FDP;47;NI;12
Antje;Tillmann;1964;CDU;193;TH;2
Martin;Timm;1957;DKP;;BE;9
Astrid;Timmermann-Fechter;1963;CDU;123;NW;40
Markus Albert;Tischner;1972;CSU;;BY;56
Dirk;Tittmann;1980;NPD;126;;
Anjes;Tjarks;1981;GRÜNE;23;HH;4
Manfred;Todtenhausen;1950;FDP;103;NW;22
Manuela;Tönhardt;1952;NPD;87;BE;3
Edeltraut;Töpfer;1949;CDU;87;BE;9
Serkan;Tören;1972;FDP;31;NI;8
Stefan;Tolksdorf;1979;BüSo;86;BE;5
Florian;Toncar;1979;FDP;260;BW;8
Bernd;Topka;1966;ödp;288;;
Birgit;Tornau;1958;CDU;;NW;56
Stefan;Träger;1988;NPD;68;;
Gerhard;Träxler;1938;BP;;BY;46
Gesa;Tralau;1969;SPD;10;SH;7
Patrick;Trautsch;1980;NPD;196;;
Angelika;Trendelenburg;1957;MLPD;;ST;6
Victor;Trenkenschuh;1937;;98;;
Heiko;Trenkle;1991;REP;281;BW;6
Markus;Tressel;1977;GRÜNE;;SL;1
Gert;Trinklein;1949;FDP;;HE;26
Jürgen;Trittin;1954;GRÜNE;54;NI;2
Jürgen;Trobentar;1950;CSU;;BY;35
Anja Gerlinde;Troff-Schaffarzyk;1969;SPD;;NI;54
Dr. Axel;Troost;1954;DIE LINKE;155;SN;2
Andreas;Trost;1981;BüSo;;SN;14
Artur;Tybussek;1958;CDU;96;NW;47
Ralf;Überheim;1961;FDP;45;NI;19
Reinhild;Ufermann-Schützinger;1953;NPD;270;;
Dr. Hans-Peter;Uhl;1944;CSU;221;BY;19
Knuth;Uhland;1966;FDP;36;NI;26
Jonny Peter;Uhlemann;1965;REP;;SN;7
Peter;Uldahl;1963;GRÜNE;213;;
Walter;Ullmann;1939;REP;;HE;11
Joachim;Ullrich;1946;RRP;219;;
Manfred;Ulmer;1943;RRP;;NI;11
Alexander;Ulrich;1971;DIE LINKE;210;RP;1
Günter;Ulrich;1943;NPD;182;;
Sultan;Ulusoy;1968;;275;;
Harald;Unfried;1964;SPD;228;BY;21
Dr. Frank-Uwe;Unger;1964;FWD;;BB;2
Joachim-Friedrich;Unruh;1952;FDP;240;BY;41
Karin;Urbansky;1970;CDU;;BW;49
Stefan;Urbat;1965;PIRATEN;258;BW;4
Herbert;Utz;1966;;218;;
Arnold Eugen Hugo;Vaatz;1955;CDU;161;SN;2
Dr. Wilhelm;Vachenauer;1949;ödp;256;BY;36
Richard Ludwig Heinrich Karl;Vahlberg;1931;NPD;243;;
Philipp;Valenta;1981;NPD;72;ST;8
Ulrich;Vanek;1947;DIE LINKE;34;;
Rüdiger;Veit;1949;SPD;174;HE;4
Valentin;Veithen;1946;DIE LINKE;91;;
Angelo;Veltens;1985;PIRATEN;;RP;1
Ansgar;Veltens;1960;PIRATEN;;RP;4
Benedikt Josef;Vennemann;1970;FDP;102;NW;50
Günter;Vetter;1952;RRP;;NI;12
Marcus;Viefeld;1975;FDP;153;SN;7
Thomas;Vierk;1973;NPD;;BE;5
Thomas;Viesehon;1973;CDU;168;HE;20
Simone;Violka;1968;SPD;164;SN;8
Regina;Vischer;1957;GRÜNE;;HE;19
Nico;Völker;1980;FDP;;MV;3
Hans-Dieter;Völlm;1943;PBC;265;BW;4
Alexander;Vogel;1983;FDP;94;NW;24
Ines;Vogel;1980;SPD;161;SN;10
Johannes;Vogel;1982;FDP;150;NW;16
Michael;Vogel;1970;PIRATEN;;HH;1
Sebastian;Vogel;1979;SPD;165;SN;14
Volkmar;Vogel;1959;CDU;195;TH;3
Susanne;Vogel-Vitzthum;1960;DIE LINKE;;SH;5
Jörg;Vogelsänger;1964;SPD;64;BB;7
Stefanie;Vogelsang;1966;CDU;83;BE;3
Kathrin;Vogler;1963;DIE LINKE;129;NW;11
Karl-Edmund;Vogt;1944;ödp;189;TH;1
Ute;Vogt;1964;SPD;258;BW;1
Arend;Vogtländer;1972;PIRATEN;;HB;3
Udo;Voigt;1952;NPD;85;BE;1
Christian;Volk;1980;CDU;;BW;40
Dr. Daniel;Volk;1970;FDP;221;BY;7
Timo;Volkmar;1980;PIRATEN;;SL;5
Dr. Eva Marlies;Volkmer;1947;SPD;160;SN;2
Sven;Volmering;1976;CDU;126;NW;28
Margit-Szu;Volosinovszky;1955;Tierschutz;;BY;4
Rolf;Vorberger;1950;RRP;50;;
Christian;Vorländer;1973;SPD;220;BY;45
Franziska;Vorpahl;1988;NPD;14;;
Bernd;Voß;1954;GRÜNE;3;SH;8
Hans-Joachim;Voß;1948;NPD;146;;
Harry Otto Adolf;Voß;1953;DIE LINKE;2;;
Johanna Regina;Voß;1957;DIE LINKE;38;NI;7
Renate;Voß;1943;MLPD;14;MV;2
Sylvia;Voß;1954;DIE LINKE;;BB;10
Christel Hedwig Ernestine;Voßbeck-Kayser;1961;CDU;151;NW;33
Andrea;Voßhoff;1958;CDU;61;BB;3
Karl;Voßkühler;1981;DIE LINKE;206;RP;6
Daniela;Vrankaj;1980;NPD;178;;
Christoph;Vries de;1974;CDU;;HH;5
Kees;Vries de;1955;CDU;72;ST;3
Mehmet Ali;Vuranoglu;1959;MLPD;;BY;11
Heinrich;Wachs;1968;NPD;;SL;4
Dr. Johann David;Wadephul;1963;CDU;4;SH;1
Cassandra;Wächter;1986;NPD;144;;
Horst;Wagener;1937;NPD;25;;
Sarah;Wagenknecht-Niemeyer;1969;DIE LINKE;108;NW;5
Adi;Wagner;1952;SPD;;SL;5
Arfst;Wagner;1954;GRÜNE;;SH;4
Brigitte;Wagner;1947;REP;;MV;2
Daniela;Wagner;1957;GRÜNE;186;HE;5
Gerhard;Wagner;1939;Volksabst.;;NW;2
Karla;Wagner;1957;SPD;;SL;11
Kay;Wagner;1984;ödp;;BE;5
Kurt;Wagner;1937;CDU;;BW;53
